Key,Value,Element,Group,Description,Count
barrier,horse_stile,node,,A horse stile allows pedestrians and horses to cross a gap through a fence,4 0 0 0
barrier,jersey_barrier,node way,,A barrier made of heavy prefabricated blocks.,95 585 3 0
barrier,kissing_gate,node,,A type of gate where you have to go into an enclosure and open a gate to get through.,2078 5 0 0
barrier,lift_gate,node,,A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,64023 137 2 0
barrier,log,node way,,A log blocking a road.,1049 170 0 0
barrier,motorcycle_barrier,node,,A barrier along a path preventing access by motorcycles.,29 0 0 0
barrier,rope,node way,,A flexible barrier made of rope.,66 52 1 0
barrier,sally_port,node,,"A secure, controlled entryway to a fortification or prison.",728 21 27 0
barrier,spikes,node,,Spikes on the ground preventing unauthorized access.,42 1 0 0
barrier,stile,node,,"A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps.",1384 5 1 0
barrier,sump_buster,node,,A barrier to stop cars (two tracked vehicles with less than a certain ground clearance and width between tracks).,45 0 0 0
barrier,swing_gate,node,,A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,6651 9 0 0
barrier,toll_booth,node area,,A place where a road usage toll or fee is collected.,193 1 8 0
barrier,turnstile,node,,"A turnstile, a passage on foot designed to allow one person at a time to pass",1552 2 0 0
barrier,yes,node way area,barrier,"Unspecific barrier value, it is always better to use more specific one if possible",2335 1642 298 2
boundary,aboriginal_lands,area,,A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.,0 0 0 0
boundary,administrative,area,,"An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the 'admin_level=*' combo tag.",7 116084 25938 116084
boundary,hazard,area,,"A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.",0 0 2 0
boundary,maritime,area,,"Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone).",9 119 0 0
boundary,marker,node,,"A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone",5100 1 1 0
boundary,national_park,area,park,"Area of outstanding natural beauty, set aside for conservation and for recreation (Other languages).",0 522 36 0
boundary,political,area,,Electoral boundaries,1 2042 687 0
boundary,postal_code,area,,Postal code boundaries,1 15225 8179 14
boundary,protected_area,area,park,"Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar.",194 6645 6614 0
boundary,special_economic_zone,area,,A government-defined area in which business and trade laws are different.,0 0 0 0
boundary,user defined,node way,,/All commonly used values according to Taginfo/,0 0 0 0
admin_level,/(number)/,area,,"Applies to boundary=administrative and is usually in the range 1 to 10, except for several countries (Bolivia, Germany, Mozambique, Netherlands, Philippines, Poland, Turkmenistan, Venezuela) where it is in the range 1 to 11 -- see boundary.",0 0 0 0
border_type,*,way area,,To distinguish between types of boundary where admin_level isn't enough. Used in several different ways e.g in maritime contexts.,0 0 0 0
start_date,/(date)/,area,,Useful if the boundary is very recent (or if it will become effective in a near future).,0 0 0 0
building,apartments,area,,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.",199 4 543929 0
building,bungalow,area,,"A single-storey detached small house, Dacha.",13 1 17488 0
building,cabin,area,,"A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas.",124 1 28761 0
building,detached,area,,"A detached house, a free-standing residential building usually housing a single family.",357 0 257452 0
building,dormitory,area,,"A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students.",26 0 3394 0
building,farm,area,,"A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn, ... If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area",30 2 26988 0
building,ger,area,,A permanent or seasonal round yurt or ger used as dwelling.,1 0 7 0
building,hotel,area,,A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.,17 0 5672 0
building,house,area,,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties.",7017 9 2300385 0
building,houseboat,area,,A boat used primarily as a home,2 0 220 0
building,residential,area,,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'.",1105 4 1051308 0
building,semidetached_house,area,,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English.",8 1 68879 0
building,static_caravan,area,,A mobile home (semi)permanently left on a single site,194 1 968 0
building,terrace,area,,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'.",20 0 180094 0
